0,prom_ap_cierre,tendencia
20130109,0.05752,-0.00064
20130110,0.06,-0.00014
20130111,0.06116,0.00037
20130114,0.05946,0.00087
20130115,0.05768,0.00095
20130116,0.05853,0.00072
20130117,0.06093,0.0011
20130118,0.05969,0.00075
20130122,0.06147,0.00066
20130123,0.06302,0.00055
20130124,0.06287,0.00012
20130125,0.06449,0.00027
20130128,0.06449,0.0
20130129,0.0655,-0.00049
20130130,0.06511,-0.00117
20130131,0.0648,-0.00174
20130201,0.0662,-0.00144
20130204,0.06496,-0.00085
20130205,0.06256,-0.00057
20130206,0.06078,-0.00039
20130207,0.05961,-0.00025
20130208,0.05923,0.0
20130211,0.05907,0.00026
20130212,0.05822,0.0
20130213,0.05814,-0.00061
20130214,0.05845,-0.0009
20130215,0.05892,-0.00053
20130219,0.05915,0.00033
20130220,0.05729,0.00078
20130221,0.05621,0.00081
20130222,0.0559,0.00027
20130225,0.05721,-0.00028
20130226,0.05845,-0.00038
20130227,0.05884,-0.00015
20130228,0.05915,0.00028
20130301,0.05822,0.0005
20130304,0.05737,0.00018
20130305,0.05783,-0.00028
20130306,0.05861,-0.00046
20130307,0.05899,-0.00025
20130308,0.0593,0.0004
20130311,0.05837,0.00091
20130312,0.05752,0.00093
20130313,0.0576,0.00036
20130314,0.05845,0.0
20130315,0.05992,0.0
20130318,0.06093,0.00011
20130319,0.06101,0.0
20130320,0.05969,-0.00071
20130321,0.06093,-0.00037
20130322,0.06124,0.0
20130325,0.06078,0.00033
20130326,0.0593,0.0
20130327,0.05837,-0.00054
20130328,0.06062,-0.00058
20130401,0.06054,-0.00028
20130402,0.05985,0.0003
20130403,0.05899,0.00042
20130404,0.05868,0.00018
20130405,0.05822,-0.00028
20130408,0.05884,-0.0007
20130409,0.06039,-0.00093
20130410,0.05969,-0.00122
20130411,0.05868,-0.00154
20130412,0.0583,-0.00139
20130415,0.0576,-0.00078
20130416,0.05559,-0.00019
20130417,0.05396,0.00036
20130418,0.05241,0.00057
20130419,0.05225,0.00016
20130422,0.05256,-0.00025
20130423,0.05295,-0.00024
20130424,0.05388,0.0
20130425,0.05442,0.00057
20130426,0.05264,0.00043
20130429,0.05233,0.0
20130430,0.05373,0.00037
20130501,0.05411,0.00088
20130502,0.05458,0.00091
20130503,0.05404,0.0
20130506,0.05404,-0.00073
20130507,0.05621,-0.00037
20130508,0.05791,0.0003
20130509,0.05667,0.00036
20130510,0.05388,-0.00058
20130513,0.05458,-0.00153
20130514,0.05713,-0.00149
20130515,0.05652,-0.00107
20130516,0.05473,-0.0006
20130517,0.05287,0.0
20130520,0.05132,0.00047
20130521,0.05078,0.00046
20130522,0.0504,0.00023
20130523,0.05032,-0.0002
20130524,0.05117,-0.00048
20130528,0.05272,0.0001
20130529,0.05148,0.00024
20130530,0.05132,0.00035
20130531,0.05086,0.00022
20130603,0.05063,-0.0003
20130604,0.05233,-0.0005
20130605,0.05179,-0.00084
20130606,0.05202,-0.00111
20130607,0.05187,-0.0009
20130610,0.05078,-0.00052
20130611,0.04993,0.0
20130612,0.04877,0.0
20130613,0.0473,-0.00013
20130614,0.04761,-0.00065
20130617,0.04792,-0.00077
20130618,0.04799,-0.00023
20130619,0.04737,0.00036
20130620,0.04722,0.00103
20130621,0.04505,0.0011
20130624,0.04532,0.00081
20130625,0.04718,0.00077
20130626,0.04795,0.00033
20130627,0.04888,-0.00018
20130628,0.04996,-0.00029
20130701,0.0502,-0.0002
20130702,0.05113,0.00025
20130703,0.04996,0.00064
20130705,0.04919,0.0005
20130708,0.04973,0.0
20130709,0.05027,-0.00022
20130710,0.05066,-0.00049
20130711,0.0519,-0.0003
20130712,0.05144,0.0
20130715,0.0502,0.0
20130716,0.05043,0.00024
20130717,0.04996,0.00013
20130718,0.05004,-0.00012
20130719,0.05027,-0.00021
20130722,0.05074,-0.00018
20130723,0.05082,-0.00029
20130724,0.05043,-0.00013
20130725,0.04981,0.0
20130726,0.0502,0.00027
20130729,0.05004,0.00045
20130730,0.04888,0.0
20130731,0.04981,0.0
20130801,0.05051,-0.00016
20130802,0.05058,-0.00025
20130805,0.05074,0.0
20130806,0.05012,0.00027
