fecha,apertura,maximo,minimo,ultima
20150511,362.70,364.50,356.20,358.00
20150508,362.00,365.00,358.00,364.00
20150507,360.00,364.50,358.00,361.80
20150506,369.00,375.75,365.00,366.00
20150505,369.00,374.50,367.50,368.50
20150504,369.00,370.00,358.00,367.00
20150430,366.00,371.00,361.00,361.00
20150429,365.00,368.00,360.00,365.95
20150428,364.00,368.00,361.00,363.25
20150427,365.00,369.50,359.00,362.50
20150424,365.00,368.00,358.00,358.50
20150423,356.00,365.00,355.00,360.50
20150422,340.00,359.95,338.50,353.50
20150421,352.00,354.00,338.00,338.00
20150420,362.00,362.00,347.00,351.00
20150417,369.50,370.00,360.00,361.50
20150416,374.00,374.00,368.00,369.50
20150415,375.50,377.50,363.00,374.50
20150414,373.00,377.90,372.50,375.50
